1   片|片	1
1	伟哥|伟	1
1	女优|女	1
1	人体盛|人	1
1	吴邦国|吴	1
1	温家宝|温	1
1	贾庆林|贾	1
1	习近平|习	1
1	李克强|李	1
1	贺国强|贺	1
1	周永康|周	1
1	跑跑卡丁车|跑	1
1	垃圾|垃	1
1	屄|屄	1
1	媽|媽	1
1	礼品|礼	1
1	刷分|刷	1
1	验证码|码	1
1	验证|验	1
1	驗證碼|驗	1
1	雪山狮子旗|旗	1
1	哲蚌寺|寺	1
1	金顶|顶	1
1	大昭寺|寺	1
1	小昭寺|寺	1
1	大召寺|寺	1
1	拉卜楞寺|寺	1
1	甘丹寺|寺	1
1	八角街|街	1
1	色拉寺|寺	1
1	开枪|枪	1
1	向巴平措|措	1
1	达赖|赖	1
1	达兰萨拉|拉	1
1	丹增嘉措|措	1
1	林芝野战军|军	1
1	52旅|旅	1
1	五十二旅|旅	1
1	圣母峰|峰	1
1	鸣枪|枪	1
1	焚烧|烧	1
1	烧毁|毁	1
1	催泪|泪	1
1	街垒|垒	1
1	冲击|击	1
1	打砸抢|抢	1
1	骚乱|乱	1
1	暴乱|乱	1
1	示威|威	1
1	冲突|突	1
1	镇压|压	1
1	平叛|叛	1
1	投毒|毒	1
1	经塔|塔	1
1	唐达献|献	1
1	转经道|道	1
1	自治区党委|委	1
1	新闻封锁|锁	1
1	暴徒|徒	1
1	自由西藏|藏	1
1	台湾独立|独	1
1	新疆独立|独	1
1	一中一台|台	1
1	两个中国|国	1
1	台湾岛国|国	1
1	新疆国|国	1
1	西藏国|国	1
1	东突|突	1
1	鷄巴|鷄	1
1	無碼電影|電	1
1	學生妹|生	1
1	亂倫|亂	1
1	姦淫|姦	1
1	一夜欢|夜	1
1	一字解特码|解	1
1	下流地带|流	1
1	不良少女日记|女	1
1	不要奥运要人权|要	1
1	东北风情熟女之惑|熟	1
1	中共中南海高层内幕|海	1
1	中共中央黑幕|中	1
1	中共任用政治血缘|中	1
1	中共伪政权|中	1
1	中共军队黑幕|中	1
1	中共十七大前明争暗斗|中	1
1	中共心中最大的恐惧|中	1
1	中共政坛腐败内幕|中	1
1	中共激烈内斗|中	1
1	中共粉饰太平|中	1
1	中共统治危机|中	1
1	中共近期权力斗争|中	1
1	中共还在祖国横行|中	1
1	中共邪党|中	1
1	中共领导人黑幕|中	1
